MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
4.75,3.02,8.0,10,396,0,1,0,0,0,21.4
3.25,4.34,3.4,6,368,1,0,1,0,0,17.2
4.0,4.23,2.7,6,301,0,1,0,0,0,15.3
2.75,3.02,1.6,4,182,1,0,0,0,1,8.8
3.0,3.08,2.8,6,267,1,0,0,0,1,13.6
3.25,3.02,3.2,6,306,0,1,0,0,0,15.4
3.75,4.34,2.4,4,313,1,0,0,0,1,14.9
3.75,3.08,2.5,6,258,0,1,0,0,1,13.0
3.5,3.61,2.7,6,260,1,0,1,0,0,13.2
4.0,3.08,2.0,4,216,1,0,0,0,1,10.8
4.5,4.0,4.8,8,391,1,0,1,0,0,18.7
3.75,4.0,3.3,6,361,1,0,1,0,0,17.3
3.0,3.08,1.8,4,248,0,1,1,0,0,12.1
4.0,4.0,4.7,8,363,1,0,1,0,0,18.0
3.75,4.23,4.9,8,380,0,1,0,0,0,19.3
3.75,3.42,3.4,6,260,1,0,1,0,0,13.6
3.5,3.08,1.6,4,207,1,0,0,0,1,9.8
3.5,3.42,3.2,6,262,0,1,0,1,0,13.1
3.5,3.02,2.3,5,269,0,1,0,0,1,13.4
4.0,4.34,3.0,6,315,1,0,1,0,0,15.7
2.75,3.02,1.3,4,191,1,0,0,0,0,9.1
4.5,4.0,4.3,6,386,1,0,0,0,1,18.7
3.5,3.08,2.5,6,288,1,0,0,0,0,14.7
4.0,4.34,3.0,6,336,1,0,1,0,0,16.4
3.25,3.02,1.8,4,205,1,0,1,0,0,10.1
4.0,3.08,4.0,8,306,0,1,0,1,0,15.5
3.25,4.0,2.0,4,235,1,0,1,0,0,11.3
3.75,3.08,2.8,6,258,0,1,0,0,1,13.0
2.75,3.02,1.9,4,191,1,0,0,0,1,9.8
4.5,4.5,4.3,6,350,1,0,1,0,0,17.0
4.75,4.5,5.2,8,386,1,0,1,0,0,19.6
4.0,4.0,3.2,6,340,1,0,1,0,0,16.6
3.5,3.08,2.3,4,251,0,1,0,1,0,12.5
3.5,3.02,2.4,4,276,1,0,1,0,0,13.4
3.0,3.08,1.9,4,165,0,0,0,0,1,6.7
3.75,3.42,3.0,6,253,1,0,0,0,1,12.3
3.25,4.34,3.4,6,331,1,0,1,0,0,15.7
3.5,3.02,2.4,4,269,1,0,0,0,1,13.2
3.5,3.42,2.0,4,274,1,0,1,0,0,13.4
4.0,3.53,2.2,4,246,1,0,0,0,1,12.2
